stratum,n,n_horizons,coverage_95,width_95,wis
22B (Omicron),2294,30,0.9618593460041781,-0.7515221648142812,-0.9937708565072303
22D (Omicron),2294,30,-0.8927472053891576,-0.9981088058202632,-0.6774193548387096
22E (Omicron),2294,30,0.6435812161500007,-0.9524805795037077,-0.9759733036707454
22F,6250,30,-0.9626251390433814,-0.9363737486095662,1.0
22F (Omicron),2294,30,0.5780925700384415,0.9995550611790878,0.9452725250278088
23A,6250,30,-0.789807543727053,-0.9973303670745272,0.9724137931034482
23A (Omicron),2294,30,0.8254669413876563,0.1835372636262514,-0.49766407119021133
23B,6250,30,-0.9927689459585408,0.6787541713014461,0.9995550611790878
23B (Omicron),2294,30,-0.8195818049735752,0.9733036707452726,0.9964404894327029
23C,4227,30,-0.9894292306031212,0.6191323692992213,1.0
23D,6250,30,-0.939029840782366,-0.9741935483870968,0.9982202447163514
23E,6250,30,-0.96440489432703,-0.071412680756396,1.0
23F,6270,30,-0.9497219132369298,0.5488320355951056,1.0
23G,2315,30,0.9128164031137902,-0.9620647517536375,-0.9599555061179088
23H,2335,30,-0.7804607088900464,-0.6249165739710789,-0.46651835372636263
23I,2335,30,-0.9348772737126005,-0.8562847608453837,-0.6529477196885429
24A,7993,30,-0.6977626520160253,-0.9879866518353726,0.9657397107897663
24B,7669,30,-0.9635150166852057,0.7877641824249165,0.9608453837597329
24C,7973,30,-0.7317018909899888,0.5906562847608453,0.9884315906562846
24D,4851,30,-0.9896540277058695,-0.9399332591768631,0.7263626251390434
24E,5175,30,-0.9459279272904828,0.9590656284760846,0.9955506117908787
24F,5160,30,-0.9332591768631814,0.9986651835372636,0.9986651835372636
24G,4836,30,-0.9095561297800347,-0.9959955506117909,-0.760622914349277
24H,2820,30,-0.9649308441215618,0.3459399332591768,0.9835372636262512
24I,2496,30,0.04049280333218207,0.5152025249367537,0.9127919911012237
25A,2820,30,-0.5145733397783017,0.9946607341490545,0.9986651835372636
25B,414,30,-0.9271579164318366,0.8816462736373749,0.950166852057842
25C,351,30,-0.6356169356702295,0.9937708565072303,1.0
recombinant,2294,30,-0.5949969651107985,-0.9875417130144604,0.7637374860956618
